ville,prix_appartement,min_appartement,max_appartement,prix_maison,min_maison,max_maison,loyer_appartement,loyer_min_appartement,loyer_max_appartement,loyer_maison,loyer_min_maison,loyer_max_maison,Taux_Global_TFB,Code_insee,Departement,geo,nb_m2,nb_mois,assurance_pno_annuel,frais_agence_%,frais_notaire_%,garantie_loyer_impaye,compta_annuelle,prevision_entretien_annuel,prevision_gros_oeuvre_annuel,taux_occupation,loyer_mensuel_appart,loyer_mensuel_maison,loyer_annuel_appart,loyer_annuel_maison,garantie_loyer_impaye_annuel_appart,garantie_loyer_impaye_annuel_maison,prix_net_vendeur_appart,prix_net_vendeur_maison,frais_agence_maison,frais_agence_appart,frais_notaire_maison,frais_notaire_appart,prevision_entretien_annuel_appart,prevision_entretien_annuel_maison,prevision_gros_oeuvre_annuel_appart,prevision_gros_oeuvre_annuel_maison,valeur_cadastrale_locative_appart,valeur_cadastrale_locative_maison,TFPB_annuel_appart,TFPB_annuel_maison,charges_copro_annuel,assurance_habitation_annuel,frais_gestion_loc_annuel,prix_achat_total_appart,prix_achat_total_maison,renta_brute_appart,renta_brute_maison,charges_annuelles_appart,charges_annuelles_maison,renta_nette_appart,renta_nette_maison
Abbaretz,1715,1006,2836,1704,682,2935,12.0,8.3,19.7,11.7,7.6,15.0,0.3489,44001,Loire-Atlantique,"Abbaretz, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,570.0,555.75,6840.0,6669.0,205.2,200.07,85750,85200,4260.0,4287.5,6816.0,6860.0,136.8,133.38,428.75,426.0,2736.0,2667.6,9.545904,9.307256399999998,50,0,200,96897.5,96276.0,0.07059005650300576,0.06926959990028668,764.745904,759.3772564,0.06269773829046156,0.061382096717769744
Aigrefeuille-sur-Maine,2704,1673,3682,2630,1052,3875,13.0,9.6,17.0,12.7,8.8,15.5,0.3936,44002,Loire-Atlantique,"Aigrefeuille-sur-Maine, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,617.5,603.25,7410.0,7239.0,222.29999999999998,217.17,135200,131500,6575.0,6760.0,10520.0,10816.0,148.20000000000002,144.78,676.0,657.5,2964.0,2895.6,11.666304,11.3970816,50,0,200,152776.0,148595.0,0.048502382573179036,0.04871630943167671,783.9663039999999,778.5670815999999,0.0433709070534639,0.04347678534540193
Ancenis,2965,1629,4876,2730,1230,4376,11.8,7.9,19.5,12.4,8.0,16.3,0.3771,44003,Loire-Atlantique,"Ancenis, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,560.5,589.0,6726.0,7068.0,201.78,212.04,148250,136500,6825.0,7412.5,10920.0,11860.0,134.52,141.36,741.25,682.5,2690.4,2827.2,10.145498400000001,10.661371199999998,50,0,200,167522.5,154245.0,0.04014983061976749,0.04582320334532724,761.9254983999999,772.7013711999999,0.03560163262606516,0.04081363174689617
Chaumes-en-Retz,2533,1474,3650,2412,965,3581,13.5,9.4,21.2,12.5,8.9,15.6,0.4045,44005,Loire-Atlantique,"Chaumes-en-Retz, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,641.25,593.75,7695.0,7125.0,230.85,213.75,126650,120600,6030.0,6332.5,9648.0,10132.0,153.9,142.5,633.25,603.0,3078.0,2850.0,12.450510000000001,11.52825,50,0,200,143114.5,136278.0,0.05376813670173183,0.05228283361951305,793.30051,775.27825,0.048225019058166715,0.04659388712778291
Assérac,3284,1941,4466,2964,1185,5731,11.4,7.5,16.3,12.8,7.8,16.1,0.4105,44006,Loire-Atlantique,"Assérac, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,541.5,608.0,6498.0,7296.0,194.94,218.88,164200,148200,7410.0,8210.0,11856.0,13136.0,129.96,145.92000000000002,821.0,741.0,2599.2,2918.4,10.669716,11.980032,50,0,200,185546.0,167466.0,0.03502096515149882,0.043567052416609936,755.6097159999999,780.860032,0.030948607267200588,0.03890425500101513
Avessac,1688,1178,2828,1619,648,3135,10.9,7.9,17.6,10.7,6.6,13.2,0.3337,44007,Loire-Atlantique,"Avessac, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,517.75,508.25,6213.0,6099.0,186.39,182.97,84400,80950,4047.5,4220.0,6476.0,6752.0,124.26,121.98,422.0,404.75,2485.2,2439.6,8.293112399999998,8.140945199999999,50,0,200,95372.0,91473.5,0.06514490626179592,0.06667504796471109,744.6831124,741.1109452000001,0.05733671190286457,0.05857312833552887
Batz-sur-Mer,4584,2251,7165,5071,2028,10141,13.9,9.4,19.7,14.4,9.9,19.2,0.37770000000000004,44010,Loire-Atlantique,"Batz-sur-Mer, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,660.25,684.0,7923.0,8208.0,237.69,246.23999999999998,229200,253550,12677.5,11460.0,20284.0,18336.0,158.46,164.16,1146.0,1267.75,3169.2,3283.2,11.9700684,12.400646400000001,50,0,200,258996.0,286511.5,0.030591206041792152,0.028648064737366565,799.6600684,808.6406464,0.02750366774622002,0.025825697584913695
La Bernerie-en-Retz,4950,3119,7463,4534,2360,8431,13.6,10.2,19.5,13.8,10.8,18.3,0.37829999999999997,44012,Loire-Atlantique,"La Bernerie-en-Retz, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,646.0,655.5,7752.0,7866.0,232.56,235.98,247500,226700,11335.0,12375.0,18136.0,19800.0,155.04,157.32,1237.5,1133.5,3100.8,3146.4,11.7303264,11.902831199999998,50,0,200,279675.0,256171.0,0.027717886832931082,0.030706051816950398,794.2903263999999,797.8828312,0.024877839183337806,0.027591402495989004
Besné,2486,1544,3434,2466,1115,3825,12.6,8.7,17.5,12.0,7.2,14.2,0.34729999999999994,44013,Loire-Atlantique,"Besné, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,598.5,570.0,7182.0,6840.0,215.45999999999998,205.2,124300,123300,6165.0,6215.0,9864.0,9944.0,143.64000000000001,136.8,621.5,616.5,2872.8,2736.0,9.977234399999999,9.502127999999997,50,0,200,140459.0,139329.0,0.05113235890900548,0.04909243588915445,775.4372344000001,764.702128,0.04561162165186994,0.04360397241062521
Le Bignon,3359,2605,4340,2660,1064,3728,13.9,10.2,18.4,13.1,9.2,17.0,0.3496,44014,Loire-Atlantique,"Le Bignon, Loire-Atlantique, France",50,12,300,0.05,0.08,0.03,600,2000,50000,0.95,660.25,622.25,7923.0,7467.0,237.69,224.01,167950,133000,6650.0,8397.5,10640.0,13436.0,158.46,149.34,839.75,665.0,3169.2,2986.8,11.0795232,10.441852800000001,50,0,200,189783.5,150290.0,0.04174757025768837,0.04968394437420986,798.7695232000001,784.4518528,0.03753872426633506,0.04446435655865327
